program,call_site,call_kind,function_start,source_path,line,expression,message
wiz8--demo--wiz8--8acda50afe39,004862f3,direct,004862d0,E:\Wizardry 8\Engine Code\Environment.cpp,684,pWorld,
wiz8--demo--wiz8--8acda50afe39,00486893,register-indirect,00486580,E:\Wizardry 8\Engine Code\Environment.cpp,660,pWorld,
wiz8--demo--wiz8--8acda50afe39,00486951,register-indirect,00486580,E:\Wizardry 8\Engine Code\Environment.cpp,660,pWorld,
wiz8--demo--wiz8--8acda50afe39,00486bf6,register-indirect,00486b50,E:\Wizardry 8\Engine Code\Environment.cpp,660,pWorld,
wiz8--demo--wiz8--8acda50afe39,00486ce6,register-indirect,00486b50,E:\Wizardry 8\Engine Code\Environment.cpp,660,pWorld,
wiz8--demo--wiz8--8acda50afe39,004885da,register-indirect,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,213,pInfo,
wiz8--demo--wiz8--8acda50afe39,004885fa,register-indirect,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,215,hFile,
wiz8--demo--wiz8--8acda50afe39,0048889b,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,268,ppCompVertices,
wiz8--demo--wiz8--8acda50afe39,004888e0,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,274,ppCompVertices[i],
wiz8--demo--wiz8--8acda50afe39,0048891c,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,278,fSuccess,
wiz8--demo--wiz8--8acda50afe39,00488946,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,303,FALSE,"Uncompressed mesh, please re-export level with newer plugin"
wiz8--demo--wiz8--8acda50afe39,00488982,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,311,pstVertices,
wiz8--demo--wiz8--8acda50afe39,004889bd,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,313,fSuccess,
wiz8--demo--wiz8--8acda50afe39,00488a39,register-indirect,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,326,pstFaces,
wiz8--demo--wiz8--8acda50afe39,00488a78,register-indirect,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,331,pCompPoly,
wiz8--demo--wiz8--8acda50afe39,00488ab0,register-indirect,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,335,fSuccess,
wiz8--demo--wiz8--8acda50afe39,00488b4c,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,355,fSuccess,
wiz8--demo--wiz8--8acda50afe39,00488b9e,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,360,ppsrMats,
wiz8--demo--wiz8--8acda50afe39,00488bbb,direct,00488500,E:\Wizardry 8\Engine Code\ReadMesh.cpp,361,uiMatCount,
wiz8--demo--wiz8--8acda50afe39,0048a745,register-indirect,0048a4c0,E:\Wizardry 8\Engine Code\ReadMesh.cpp,595,pInfo,
wiz8--demo--wiz8--8acda50afe39,0048a75f,register-indirect,0048a4c0,E:\Wizardry 8\Engine Code\ReadMesh.cpp,596,pInfo->strBitmapDir,
wiz8--demo--wiz8--8acda50afe39,0048a779,register-indirect,0048a4c0,E:\Wizardry 8\Engine Code\ReadMesh.cpp,597,pInfo->pWorld,
wiz8--demo--wiz8--8acda50afe39,0048a793,register-indirect,0048a4c0,E:\Wizardry 8\Engine Code\ReadMesh.cpp,598,pInfo->hFile,
wiz8--demo--wiz8--8acda50afe39,0048abc1,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,795,pInfo,
wiz8--demo--wiz8--8acda50afe39,0048abe9,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,796,uiNumMeshes,
wiz8--demo--wiz8--8acda50afe39,0048ac0c,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,800,hFile,
wiz8--demo--wiz8--8acda50afe39,0048ac6c,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,806,uiMatCount,
wiz8--demo--wiz8--8acda50afe39,0048aca0,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,809,(uiTerminator == 0xffffffff),NewReadMesh: Material list length is incorrect.
wiz8--demo--wiz8--8acda50afe39,0048acbf,register-indirect,0048ab70,E:\Wizardry 8\Engine Code\ReadMesh.cpp,811,(uiNumMeshes == uiMeshNum),NewReadMesh: Mismatch in mesh count between .oct and .pvl files.
