program,call_site,call_kind,function_start,name
wiz8--gog-base--wiz8--18a74ff61c65,004236ab,register-indirect,00423500,Full Screen Overlay Scene
wiz8--gog-base--wiz8--18a74ff61c65,00423723,register-indirect,00423500,2D Overlay Scene (0)
wiz8--gog-base--wiz8--18a74ff61c65,00423799,register-indirect,00423500,2D Overlay Scene (1)
wiz8--gog-base--wiz8--18a74ff61c65,00424503,direct,00424280,Video2DRectToPolygon
wiz8--gog-base--wiz8--18a74ff61c65,0042472f,direct,00424560,Video2DRectToSquarePolygon
wiz8--gog-base--wiz8--18a74ff61c65,00424999,direct,00424790,Video2DPolyColored
wiz8--gog-base--wiz8--18a74ff61c65,00424b00,direct,00424a90,VideoMakePoster
wiz8--gog-base--wiz8--18a74ff61c65,00424ce4,register-indirect,00424ba0,VideoMakePoster
wiz8--gog-base--wiz8--18a74ff61c65,00424e53,register-indirect,00424ba0,VideoMakePoster
wiz8--gog-base--wiz8--18a74ff61c65,00424f3e,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-base--wiz8--18a74ff61c65,00425043,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-base--wiz8--18a74ff61c65,00425134,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-base--wiz8--18a74ff61c65,00425248,register-indirect,00425190,Video2DMakePolygonBrush
wiz8--gog-base--wiz8--18a74ff61c65,004253be,register-indirect,00425190,Video2DMakePolygonBrush
wiz8--gog-base--wiz8--18a74ff61c65,00427d91,register-indirect,00427ab0,MouseResize
wiz8--gog-base--wiz8--18a74ff61c65,00427e28,register-indirect,00427ab0,Mouse Cursor Mesh
wiz8--gog-base--wiz8--18a74ff61c65,00428629,register-indirect,004285c0,Mouse Cursor Scene
wiz8--gog-base--wiz8--18a74ff61c65,00428f18,register-indirect,00428e60,VideoVObjecttoTextureAnim
wiz8--gog-base--wiz8--18a74ff61c65,0042903e,register-indirect,00428e60,VideoVObjecttoTextureAnim:srColorSurface
wiz8--gog-base--wiz8--18a74ff61c65,004290b3,register-indirect,00428e60,VideoVObjecttoTextureAnim
wiz8--gog-base--wiz8--18a74ff61c65,0042b1aa,direct,0042af60,AnimatedCloudMaterial
wiz8--gog-base--wiz8--18a74ff61c65,00441f02,direct,004417c0,
wiz8--gog-base--wiz8--18a74ff61c65,004434f1,direct,004417c0,
wiz8--gog-base--wiz8--18a74ff61c65,0044b395,direct,0044aee0,
wiz8--gog-base--wiz8--18a74ff61c65,0044f286,register-indirect,0044f1c0,Sir-Tech Scene Static Scene
