program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb930,.rdata,initialized,import-slot,1,1,read,4,005eb934,4,SR.DLL!?getLocalBounds@srModelInstance@@UAEXAAUBoundInfo@srNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb934,.rdata,initialized,import-slot,1,1,read,4,005eb938,4,SR.DLL!?dump@srModelInstance@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb938,.rdata,initialized,import-slot,11,5,read,4,005eb93c,4,SR.DLL!??1srModelInstance@@MAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb93c,.rdata,initialized,import-slot,3,3,read,4,005eb940,4,SR.DLL!??0srModelInstance@@QAE@PAVsrNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb940,.rdata,initialized,import-slot,2,2,read,4,005eb944,4,SR.DLL!??4srModelInstance@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb944,.rdata,initialized,import-slot,4,2,read,4,005eb948,4,SR.DLL!?setExclusionMask@srGERD@@QAEXK@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb948,.rdata,initialized,import-slot,3,3,read,4,005eb94c,4,SR.DLL!?scale@srGERD@@QAEXNNN@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb94c,.rdata,initialized,import-slot,2,2,read,4,005eb950,4,SR.DLL!?rotate@srGERD@@QAEXNABV?$srVector3T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb950,.rdata,initialized,import-slot,2,2,read,4,005eb954,4,SR.DLL!?translate@srGERD@@QAEXABV?$srVector3T@M@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb954,.rdata,initialized,import-slot,2,2,read,4,005eb958,4,SR.DLL!?getWorldSpaceScale@srNode@@QBE?AV?$srVector3T@N@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb958,.rdata,initialized,import-slot,3,3,read,4,005eb95c,4,SR.DLL!?applyWorldSpaceMatrix@srNode@@QAEXAAVsrGERD@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb95c,.rdata,initialized,import-slot,7,6,read,4,005eb960,4,SR.DLL!?getScale@srNode@@QBE?AV?$srVector3T@N@@XZ
