program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,0048a110,W8GrowableVector<W8VectorElement005ECA5C *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048a140,W8Vector005ECA5C::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048a7a0,InitializeEncounterTables,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,0048ad20,MonGen::GenerateEncounter,wiz8-engine-code,strong,original-runtime-string,string-backed,,,
wiz8,0048b9a0,SelectEncounterCandidates,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,0048bdc0,FindMonGenByName,fan-patch-oracle,strong,fan-patch-signature,external-semantic,,,
wiz8,0048c110,MonGen::LoadAll,wiz8-engine-code,strong,original-runtime-string,string-backed,,,
wiz8,0048c810,UpdateRandomEncounterBudget,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,0048c8e0,CullExpiredEncounters,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,0048cda0,W8Vector005ECA98::W8Vector005ECA98,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048ce00,W8Vector005ECA98::~W8Vector005ECA98,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048ce20,W8Vector005ECAA0::W8Vector005ECAA0,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048ce80,W8Vector005ECAA0::~W8Vector005ECAA0,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048ced0,W8GrowableVector<W8VectorElement005ECA98 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048cf00,W8Vector005ECA98::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048cf20,W8GrowableVector<W8VectorElement005ECAA0 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048cf50,W8Vector005ECAA0::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048f190,W8Vector005ECAD0::W8Vector005ECAD0,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048f1f0,W8Vector005ECAD0::~W8Vector005ECAD0,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048f210,W8GrowableVector<W8VectorElement005ECAD0 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0048f240,W8Vector005ECAD0::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,0049f310,W8WorldEntity::SetFlags,wiz8-engine-item,strong,descriptive,descriptive,,Engine Code\\Item.cpp,
wiz8,004a4100,W8Missile::Release,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a4110,W8Missile::ApplyLauncherSetting98,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a4140,W8Missile::ResetLauncherCounters,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a4570,W8Missile::GetActiveEmitter,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a4590,W8Missile::GetEmitterCount,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a45c0,W8Missile::GetActiveEmitterValue,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a45e0,W8Missile::GetLauncher,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\\Missile.cpp,
wiz8,004a5c30,W8Vector005ECE60::W8Vector005ECE60,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a5c90,W8Vector005ECE60::~W8Vector005ECE60,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a5cf0,W8GrowableVector<W8VectorElement005ECE60 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a5d20,W8Vector005ECE60::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a5e50,GrCycle::GrCycle,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004a5f00,GrCycle::scalar_deleting_destructor,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004a5f20,GrCycle::GrCycle,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004a6610,GrCycle::~GrCycle,wiz8-engine-code,strong,original-source-path,string-backed,,,
wiz8,004a8430,GrCycle::SetSubCycle,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8460,GrCycle::SetBehaviour,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a84c0,GrCycle::SetLights,wiz8-engine-code,exact,original-runtime-string,string-backed,,Engine Code\GrCycle.cpp,1656
wiz8,004a8530,GrCycle::AddVectorElement005ECED4,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8650,GetGrCycleName,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8700,IsSoleGrCycleForName,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a87a0,FindFirstGrCycleByName,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8830,UnregisterGrCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,1830
wiz8,004a89a0,RegisterGrCycle,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,1891
wiz8,004a8c50,DestroyVector005EC294,wiz8-engine-code,strong,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8d10,FindMappedIndexInMeshChain,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8d50,GrCycle::CreateGroundShadow,wiz8-engine-code,strong,original-runtime-string,string-backed,,,
wiz8,004a8de0,GrCycle::SetGroundShadowVisible,wiz8-engine-code,exact,original-runtime-string,string-backed,,,
wiz8,004a8e70,W8Vector005ECEE4::W8Vector005ECEE4,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a8ed0,W8Vector005ECEE4::~W8Vector005ECEE4,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a8ef0,W8GrowableVector<W8VectorElement005ECEE4 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a8f20,W8Vector005ECEE4::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,,
wiz8,004a8f40,W8GrowableVector<W8VectorElement005ECED4 *>::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8f70,W8Vector005ECED4::scalar_deleting_destructor,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
wiz8,004a8f90,W8Vector005ECED4::~W8Vector005ECED4,wiz8-engine-code,exact,descriptive,descriptive,,Engine Code\GrCycle.cpp,
