unit,function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f410,1,1.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f0b0,1,1.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f0b0,1,1.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040f0b0,1,1.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f0b0,1,1.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,no-text-section
directdraw,DDCreateSurface,74,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137,protected-executable
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,no-text-section
directdraw,DDCreateSurfaceInMemory,284,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,5fdaad827f3b4e37bbffc68507bd73576230b28021b0a9279e5388c3f03ac880,protected-executable
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,
directdraw,DDCreateZBufferSurface,371,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,22eb528e7cee22f43fbaa0fc2d89721e45908dfe5a4632bbab307bc0bdf0e1ae,no-text-section
