function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
FileExists,65,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00404bf0,1,1.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,
FileExists,65,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404bf0,1,1.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,
FileExists,65,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,no-text-section
FileExists,65,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,protected-executable
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00404cb0,1,1.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404c40,1,1.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404c40,1,1.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00404c40,1,1.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404c40,1,1.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,
FileExistsNoDB,42,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997,no-text-section
