function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
FileClose,134,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,no-text-section
FileClose,134,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,protected-executable
FileCopy,27,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00405540,1,1.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,
FileCopy,27,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004054d0,1,1.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,
FileCopy,27,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004054d0,1,1.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,
FileCopy,27,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,004054d0,1,1.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,
FileCopy,27,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004054d0,1,1.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,
FileCopy,27,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,no-text-section
FileCopy,27,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a,protected-executable
FileDebug,1,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,ambiguous-generic,,13271,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebug,1,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebug,1,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebug,1,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebug,1,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebug,1,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,no-text-section
FileDebug,1,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,protected-executable
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,ambiguous-generic,,13271,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,13531,1.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,no-text-section
FileDebugPrint,1,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e,protected-executable
FileDelete,12,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,ambiguous-generic,,2,1.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,
FileDelete,12,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,2,1.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,
FileDelete,12,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,2,1.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,
FileDelete,12,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,ambiguous-generic,,2,1.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,
FileDelete,12,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,2,1.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,
FileDelete,12,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,no-text-section
FileDelete,12,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,affed1bec2e0bbe9f34afb41a2c315445219c39640d96de70a2103cfcb5ecb5b,protected-executable
FileExists,65,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00404c60,1,1.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,
FileExists,65,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404bf0,1,1.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,
FileExists,65,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00404bf0,1,1.000000,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f,
