function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
DDDeleteAttachedSurface,37,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,dfff33460506d137703a1681d6a39941bf76176901af26de731238e00cce8917,protected-executable
DDGetDC,35,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,
DDGetDC,35,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,
DDGetDC,35,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,
DDGetDC,35,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,
DDGetDC,35,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,
DDGetDC,35,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,no-text-section
DDGetDC,35,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,3d42125a18ebf38516b847b13bb55cb0af3e48b139618e79d573a63a59f0b0fc,protected-executable
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,no-text-section
DDGetDDInterface,38,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,5d801148f47ad75b7129e103ddbcfc4a524827fc206325e61a0baab76a9a149c,protected-executable
DDGetPaletteEntries,50,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f6e0,1,1.000000,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c,
