program,module,table,class_name,enclosing_scope,subobject,table_rva,slot,target_rva,target_name,target_signature,resolution
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,6,0x4c1b0,?vInstance@srFog@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srFog::vInstance(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,7,0x4bea0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,8,0x4c9e0,?traverse@srIlluminator@@UAEXAAVTraverseInfo@srNode@@@Z,public: virtual void __thiscall srIlluminator::traverse(class srNode::TraverseInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,9,0x4c900,?process@srIlluminator@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z,"public: virtual void __thiscall srIlluminator::process(struct srNode::ProcessInfo const &, enum srNode::e_processType)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,10,0x50510,?getLocalBounds@srNode@@UAEXAAUBoundInfo@1@@Z,public: virtual void __thiscall srNode::getLocalBounds(struct srNode::BoundInfo &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,11,0x50500,?updateBounds@srNode@@UAEXXZ,public: virtual void __thiscall srNode::updateBounds(void),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,srFog,,"srClassSupport<class srIlluminator, class srNode, 0, 4608>",0x76fb4,12,0x50690,?processSignal@srNode@@MAEHKPAX@Z,"protected: virtual int __thiscall srNode::processSignal(unsigned long, void *)",exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6BsrVertexProcessor@@@,srFog,,srVertexProcessor,0x76fa8,0,0x4c7c0,,,internal
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6BsrVertexProcessor@@@,srFog,,srVertexProcessor,0x76fa8,1,0x4b6f0,?isActive@srFog@@UAEHAAVsrVertexPipe@@@Z,public: virtual int __thiscall srFog::isActive(class srVertexPipe &),exported
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_7srFog@@6BsrVertexProcessor@@@,srFog,,srVertexProcessor,0x76fa8,2,0x4b870,?process@srFog@@UAEXAAVsrVertexPipe@@@Z,public: virtual void __thiscall srFog::process(class srVertexPipe &),exported
