program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f833c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8340,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8408,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f840c,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f846c,.rdata,vftable,21,code-reference-boundary,2,0x0,0,0,10,0x464
wiz8--demo--wiz8--8acda50afe39,005f84c0,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f84c4,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,0x464
wiz8--demo--wiz8--8acda50afe39,005f84c8,.rdata,vftable,21,code-reference-boundary,3,0x0,0,0,16,0x464
wiz8--demo--wiz8--8acda50afe39,005f851c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8520,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f8524,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f852c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8530,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8534,.rdata,vftable,1,code-reference-boundary,5,0x0 0x24 0x64,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f8538,.rdata,vftable,2,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f85f0,.rdata,vftable,17,code-reference-boundary,2,0x0,0,0,5,0x68
wiz8--demo--wiz8--8acda50afe39,005f8634,.rdata,vftable,17,code-reference-boundary,3,0x0,3,0,9,0x68
wiz8--demo--wiz8--8acda50afe39,005f8678,.rdata,vftable,3,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8684,.rdata,vftable,5,code-reference-boundary,0,,0,0,1,
wiz8--demo--wiz8--8acda50afe39,005f8698,.rdata,vftable,2,code-reference-boundary,2,-0x10 0x0,0,0,1,0x20
wiz8--demo--wiz8--8acda50afe39,005f86a0,.rdata,vbtable,2,displacement-shape,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f86b8,.rdata,vftable,17,code-reference-boundary,3,0x0,0,0,6,
wiz8--demo--wiz8--8acda50afe39,005f86fc,.rdata,vftable,17,code-reference-boundary,4,0x0,3,0,9,0x6c
wiz8--demo--wiz8--8acda50afe39,005f8740,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,6,
wiz8--demo--wiz8--8acda50afe39,005f8774,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,8,
wiz8--demo--wiz8--8acda50afe39,005f87b8,.rdata,vftable,4,code-reference-boundary,0,,0,1,2,
wiz8--demo--wiz8--8acda50afe39,005f87c8,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,5,0x1b0
wiz8--demo--wiz8--8acda50afe39,005f87fc,.rdata,vftable,4,code-reference-boundary,3,0x138,0,1,3,
wiz8--demo--wiz8--8acda50afe39,005f880c,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,8,0x1b0
wiz8--demo--wiz8--8acda50afe39,005f8840,.rdata,vftable,4,code-reference-boundary,3,0x138,0,1,3,
wiz8--demo--wiz8--8acda50afe39,005f8850,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,6,0x180
wiz8--demo--wiz8--8acda50afe39,005f8884,.rdata,vftable,4,code-reference-boundary,0,,0,1,3,
wiz8--demo--wiz8--8acda50afe39,005f8894,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x180
wiz8--demo--wiz8--8acda50afe39,005f88f0,.rdata,vftable,3,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8938,.rdata,vftable,3,code-reference-boundary,2,0x138,0,1,2,
wiz8--demo--wiz8--8acda50afe39,005f8944,.rdata,vftable,13,code-reference-boundary,2,0x0,0,0,8,
wiz8--demo--wiz8--8acda50afe39,005f89b0,.rdata,vftable,1,code-reference-boundary,6,0x0,0,0,0,0x7c
wiz8--demo--wiz8--8acda50afe39,005f89b4,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x7c
wiz8--demo--wiz8--8acda50afe39,005f89b8,.rdata,vftable,17,code-reference-boundary,4,0x0,0,0,2,0x7c
wiz8--demo--wiz8--8acda50afe39,005f89fc,.rdata,vftable,17,code-reference-boundary,5,0x0,3,0,9,0x7c
wiz8--demo--wiz8--8acda50afe39,005f8a50,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a54,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a58,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a70,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x158
wiz8--demo--wiz8--8acda50afe39,005f8a90,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a94,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a98,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8a9c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8ab0,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8ac8,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8acc,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8b30,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,6,0x7c
wiz8--demo--wiz8--8acda50afe39,005f8b64,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x7c
wiz8--demo--wiz8--8acda50afe39,005f8bc8,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,5,0x280
wiz8--demo--wiz8--8acda50afe39,005f8bfc,.rdata,vftable,13,code-reference-boundary,4,0x0,0,0,8,0x280
wiz8--demo--wiz8--8acda50afe39,005f8c50,.rdata,vftable,3,code-reference-boundary,6,0x138,0,1,2,
wiz8--demo--wiz8--8acda50afe39,005f8c5c,.rdata,vftable,13,code-reference-boundary,6,0x0,0,0,5,0x1f8|0x258
wiz8--demo--wiz8--8acda50afe39,005f8c90,.rdata,vftable,3,code-reference-boundary,0,,0,1,2,
wiz8--demo--wiz8--8acda50afe39,005f8c9c,.rdata,vftable,13,code-reference-boundary,6,0x0,0,0,8,0x1f8|0x258
wiz8--demo--wiz8--8acda50afe39,005f8cd0,.rdata,vftable,13,code-reference-boundary,5,0x0,0,0,9,
wiz8--demo--wiz8--8acda50afe39,005f8d04,.rdata,vftable,3,code-reference-boundary,0,,0,1,0,
wiz8--demo--wiz8--8acda50afe39,005f8d10,.rdata,vftable,13,code-reference-boundary,5,0x0,0,0,8,0x250
wiz8--demo--wiz8--8acda50afe39,005f8d68,.rdata,vftable,2,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8d70,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,0x20
wiz8--demo--wiz8--8acda50afe39,005f8d98,.rdata,vftable,3,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8da4,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8da8,.rdata,vftable,3,code-reference-boundary,4,0x0,2,0,0,0x3c|0x58
wiz8--demo--wiz8--8acda50afe39,005f8db4,.rdata,vftable,3,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8dc0,.rdata,vftable,1,code-reference-boundary,7,0x0 0x38 0x29c,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8dd8,.rdata,vftable,5,code-reference-boundary,3,0x0,0,0,0,0x328
wiz8--demo--wiz8--8acda50afe39,005f8dec,.rdata,vftable,5,code-reference-boundary,3,0x18,0,1,0,
wiz8--demo--wiz8--8acda50afe39,005f8e00,.rdata,vftable,17,code-reference-boundary,3,0x0,0,0,0,0x328
wiz8--demo--wiz8--8acda50afe39,005f8e44,.rdata,vftable,1,code-reference-boundary,12,0x0 0x58 0x5a 0x60 0x7c 0xb8 0x130 0x168,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8e58,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8e5c,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
