program,site,function_start,object_offset,vtable,allocation_size
wiz8--gog-1261--wiz8new--57a3072c2f83,0049e1bd,0049e0d0,0x0,005eccd8,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f13d,0049f120,0x0,005ecd70,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f15c,0049f120,0x0,005ec1d8,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f384,0049f350,0x0,005ecd78,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f3b4,0049f350,0x0,005ecd70,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f45d,0049f440,0x0,005ecd78,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f641,0049f4a0,0x0,005ecd78,0x20
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f671,0049f4a0,0x0,005ecd70,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a0c5d,004a05c0,0x0,005ecdb0,0x58
wiz8--gog-1261--wiz8new--57a3072c2f83,004a0d03,004a05c0,0x0,005ecda0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2083,004a2080,0x0,005ecdc8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a20c7,004a20c0,0x0,005ecdac,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a20f8,004a20c0,0x0,005ecdb0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2116,004a2110,0x0,005ecdc8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a226f,004a2230,0x0,005ecdb0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a22b3,004a2230,0x0,005ecda0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2505,004a2500,0x0,005ec0e0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2545,004a2540,0x0,005ecdac,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a25fd,004a25e0,0x0,005ecda0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2606,004a25e0,0x38,005ecdc8,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2636,004a25e0,0x18,005ec0e0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2646,004a25e0,0x8,005ec0e0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2659,004a25e0,0x0,005ecdb0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2e29,004a2db0,0x0,005ecde0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2ef8,004a2db0,0x0,005ec298,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2f19,004a2db0,0x0,005ec294,0x10
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2f24,004a2db0,0x0,005ec294,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a2fcd,004a2db0,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3006,004a2db0,0x0,005ecc64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a300c,004a2db0,0x138,005ecc58,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3250,004a3230,0x0,005ecde0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a333a,004a3300,0x0,005ec298,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3359,004a3300,0x0,005ec294,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3364,004a3300,0x0,005ec294,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3c9d,004a3c10,0x58,005ebfec,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3cc2,004a3c10,0x58,005ece4c,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3ccf,004a3c10,0x0,005ece08,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3cd5,004a3c10,0x18,005ecdf4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3da5,004a3c10,0x0,005ecde0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3f1e,004a3e50,0x58,005ebfec,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3f43,004a3e50,0x58,005ece4c,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3f56,004a3e50,0x0,005ece08,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3f5c,004a3e50,0x18,005ecdf4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3fdd,004a3fc0,0x0,005ece08,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a3fe3,004a3fc0,0x18,005ecdf4,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a401c,004a3fc0,0x2d8,005ebfec,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5c3b,004a5c30,0x0,005ece64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5c68,004a5c30,0x0,005ece60,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5c78,004a5c30,0x0,005ece60,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5c94,004a5c30,0x0,005ece64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5cd4,004a5cb0,0x0,005ebfec,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5cf7,004a5cf0,0x0,005ece64,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5db4,004a5d40,0x58,005ebfec,
wiz8--gog-1261--wiz8new--57a3072c2f83,004a5e88,004a5e50,0x0,005eceb8,
