program,funcinfo,magic,handler_thunk,frame_setup,eh_setup_start,max_state,try_block_count,unwind_signature
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1c50,19930520,005e5763,00492722,00492720,4,0,4|0|-1:pointer:-16|-1:pointer-import:-16|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1c90,19930520,005e578b,00492a32,00492a30,3,0,3|0|-1:pointer-import:-16|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1cc8,19930520,005e57a9,00492c72,00492c70,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1cf0,19930520,005e57e5,00492d02,00492d00,4,0,4|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16|0:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1d30,19930520,005e5817,00493128,00493126,3,0,3|0|-1:object:-1200|0:pointer:-1208|0:pointer:-1228
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1d68,19930520,005e583b,00494b92,00494b90,1,0,1|0|-1:object:-1164
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1d90,19930520,005e586c,00496008,,2,0,2|0|-1:pointer:-4120|-1:pointer:-4120
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1dc0,19930520,005e5891,00497af2,00497af0,2,0,2|0|-1:pointer-import:-60|-1:pointer:-60
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1df0,19930520,005e58ab,004980e2,004980e0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1e18,19930520,005e58d7,00498182,00498180,2,0,2|0|-1:pointer-import:-180|-1:pointer:-180
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1e48,19930520,005e5901,00498a22,00498a20,2,0,2|0|-1:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1e78,19930520,005e591b,0049ab08,0049ab06,1,0,1|0|-1:pointer:4
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ea0,19930520,005e5939,0049b992,0049b990,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ec8,19930520,005e5961,0049c2c2,0049c2c0,2,0,2|0|-1:pointer-import:-20|-1:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ef8,19930520,005e5993,0049c432,0049c430,4,0,4|0|-1:pointer:-16|-1:pointer-import:-16|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1f38,19930520,005e59a9,0049d502,0049d500,1,0,1|0|-1:pointer-import:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1f60,19930520,005e59d2,0049d662,0049d660,2,0,2|0|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1f90,19930520,005e59fb,0049dd82,0049dd80,3,0,3|0|-1:pointer-import:-16|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1fc8,19930520,005e5a19,0049dfe2,0049dfe0,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ff0,19930520,005e5a42,0049e0d2,0049e0d0,2,0,2|0|-1:pointer-import:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2020,19930520,005e5a5b,0049e3a2,0049e3a0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2048,19930520,005e5a86,0049e9a8,0049e9a6,2,0,2|0|-1:pointer:-20|-1:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2078,19930520,005e5a98,0049f122,0049f120,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f20a0,19930520,005e5ac3,0049f352,0049f350,2,0,2|0|-1:pointer:-24|0:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f20d0,19930520,005e5ad8,0049f442,0049f440,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f20f8,19930520,005e5b0e,0049f5d8,0049f5d6,3,0,3|0|-1:pointer:-24|0:pointer:-24|1:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2130,19930520,005e5b63,004a05c2,004a05c0,5,0,5|0|-1:pointer:-132|0:pointer:-132|1:pointer:-132|2:pointer:-132|3:pointer:-132
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2178,19930520,005e5baf,004a2232,004a2230,6,0,6|0|-1:pointer:-32|0:pointer:-32|1:pointer:-32|2:pointer:-32|3:pointer:-32|-1:pointer:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f21c8,19930520,005e5be9,004a25e2,004a25e0,4,0,4|0|-1:pointer:-16|0:pointer:-16|1:pointer:-16|2:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2208,19930520,005e5c47,004a2db8,004a2db6,6,0,6|0|-1:pointer:-36|0:pointer:-36|1:pointer:-52|1:pointer:-28|3:pointer-import:-28|3:pointer:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2258,19930520,005e5c80,004a3232,004a3230,2,0,2|0|-1:pointer:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2288,19930520,005e5c9b,004a3302,004a3300,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f22b0,19930520,005e5ccc,004a3558,004a3556,2,0,2|0|-1:pointer:-772|-1:pointer:-780
wiz8--gog-1261--wiz8new--57a3072c2f83,005f22e0,19930520,005e5d09,004a3c12,004a3c10,4,0,4|0|-1:pointer:-20|0:pointer:-20|1:pointer:-16|2:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f2320,19930520,005e5d36,004a3e52,004a3e50,2,0,2|0|-1:pointer:-16|0:pointer:-16
