program,funcinfo,state,to_state,kind,frame_offset,target,import_slot,import_name,import_signature,element_destructor
wiz8--demo--wiz8--8acda50afe39,005fcc30,1,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcc60,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcc88,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fccb0,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fccd8,0,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fccd8,1,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fccd8,2,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd10,0,-1,pointer,-6160,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,1,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,2,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,3,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,4,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,5,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,6,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd38,7,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd98,0,-1,pointer,-20,00458910,,,,
wiz8--demo--wiz8--8acda50afe39,005fcd98,1,0,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fcdc8,0,-1,pointer,-16,00458910,,,,
wiz8--demo--wiz8--8acda50afe39,005fcdf0,0,-1,pointer,-40,00458910,,,,
wiz8--demo--wiz8--8acda50afe39,005fcdf0,1,0,pointer,4,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fce20,0,-1,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce48,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce48,1,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce48,2,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce48,3,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce88,0,-1,pointer,-296,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fce88,1,-1,pointer,-296,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fceb8,0,-1,pointer,-300,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fceb8,1,0,pointer,-284,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcee8,0,-1,pointer,-20,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf10,0,-1,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf10,1,-1,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf10,2,-1,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf48,0,-1,object,-108,00457780,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf70,0,-1,pointer,-20,0042e640,,,,
wiz8--demo--wiz8--8acda50afe39,005fcf70,1,0,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcfa0,0,-1,pointer,-16,0042e640,,,,
wiz8--demo--wiz8--8acda50afe39,005fcfc8,0,-1,pointer,-32,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcfc8,1,-1,pointer,-32,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcff8,0,-1,object,-1116,0049a460,,,,
wiz8--demo--wiz8--8acda50afe39,005fcff8,1,0,object,-1064,0049a460,,,,
wiz8--demo--wiz8--8acda50afe39,005fcff8,2,1,pointer,-1084,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcff8,3,1,pointer,-1084,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcff8,4,1,pointer,-1084,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fd040,0,-1,pointer,-44,005eadb0,,,,
