program,storage_class,unit,lower,upper,baseline_globals
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\quad.cpp,0060e5d0,0060e5d8,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Monster.cpp,0060e614,0060f9dc,131
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctPrePath.cpp,0060ff28,006100f4,14
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\stScript.cpp,00610138,00610144,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\LevelFile.cpp,006101a8,0061093c,62
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\SoundEvent.cpp,0061095c,006109cc,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\MasterFunctionList.cpp,006109f4,00612f30,248
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\Cosmic Circle.cpp,00612f40,00613044,11
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\Trynnie1.cpp,006131bc,006132f8,11
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\MtGigasOuter.cpp,006135ec,006136c0,12
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\Monastery2.cpp,006136e0,006137a8,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\MartensBluff1.cpp,00613a8c,00613b64,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Level Specific Code\Arnika.cpp,00613dcc,00614410,61
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\MonsterManager.cpp,006147e0,00614cc4,26
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat.cpp,00617370,0061766c,20
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\GameplayCode.cpp,006176b8,00617894,12
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat Party Movement.cpp,006178b4,00617aec,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Controls.cpp,00617c2c,00617cd0,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\ItemManager.cpp,00617ce4,0061915c,28
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Magic.cpp,0061920c,00619828,34
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\GameplayTime.cpp,00619844,006198bc,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Sight.cpp,006198ec,00619a1c,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\NPC Scripting Facts.cpp,00619a54,00619d4c,43
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\NPC Manager.cpp,00619df8,00619f40,12
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\MonsterGroup.cpp,00619fdc,0061a0d8,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\LoadSaveGame.cpp,0061a13c,0061a340,24
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\search.cpp,0061a36c,0061a378,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\UtilityFunctions.cpp,0061a3c8,0061a594,20
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat Range.cpp,0061a5b8,0061a6d8,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\PC Item.cpp,0061a728,0061ad08,41
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Conditions & Enchantments.cpp,0061ad28,0061ae64,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\NPC Scripting.cpp,0061c2d0,0061c618,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Health Stamina Mana.cpp,0061c8ac,0061c974,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\MonsterAI.cpp,0061cc10,0061ce48,15
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Factions.cpp,0061d0ec,0061d118,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Targeting.cpp,0061d14c,0061d268,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat Attack.cpp,0061d284,0061dc3c,59
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat Hostility.cpp,0061dc60,0061dd24,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Combat Sound.cpp,0061def0,0061e064,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\GameplayDatabase.cpp,0061e08c,0061e144,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Configuration.cpp,0061e184,0061e1c4,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Magic Effects.cpp,0061e208,0061e604,12
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\Formation & Facing.cpp,0061eca0,0061edfc,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Local Code\GroupAttacks.cpp,0061ef04,0061f1b8,6
