address|name|size|type
10007a80|transencode_coef_controller|101|library
10007af0|jctrans_start_pass_coef|57|library
10007b30|jctrans_start_iMCU_row|78|library
10007b80|jctrans_compress_output|640|library
10007e90|jpeg_abort_decompress|12|library
10007ea0|jpeg_set_marker_processor|93|library
100081d0|jpeg_input_complete|69|library
10008220|jpeg_has_multiple_scans|69|library
10008650|jpeg_start_output|102|library
100086c0|jpeg_finish_output|156|library
100087a0|init_destination|38|library
100087d0|empty_output_buffer|76|library
10008820|term_destination|62|library
100088d0|init_source|15|library
100089a0|term_source|1|library
10008ac0|jdcoefct_start_input_pass|22|library
10008b90|decompress_onepass|608|library
10008df0|dummy_consume_data|3|library
10008e00|consume_data|533|library
10009020|decompress_data|434|library
100092d0|decompress_smooth_data|1641|library
10009bc0|ycc_rgb_convert|304|library
10009d80|jdcolor_grayscale_convert|41|library
10009db0|ycck_cmyk_convert|356|library
10009f20|start_pass_dcolor|1|library
10009fb0|start_pass|616|library
1000a650|start_pass_huff_decoder|325|library
1000a7a0|decode_mcu|1102|library
1000af60|finish_input_pass|17|library
1000b420|jdmainct_start_pass_main|118|library
1000b970|process_data_crank_post|39|library
1000bc40|get_app0|664|library
1000bee0|get_app14|463|library
1000d830|jpeg_new_colormap|117|library
1000dcb0|finish_output_pass|40|library
1000de30|start_pass_merged_upsample|24|library
1000de50|merged_2v_upsample|207|library
1000df60|h2v1_merged_upsample|341|library
1000e0c0|h2v2_merged_upsample|528|library
1000e340|start_pass_phuff_decoder|775|library
1000e650|decode_mcu_DC_first|569|library
1000e920|decode_mcu_AC_first|609|library
1000eb90|decode_mcu_DC_refine|273|library
1000ecb0|decode_mcu_AC_refine|1124|library
1000f1b0|start_pass_dpost|249|library
1000f2b0|post_process_1pass|123|library
1000f690|start_pass_upsample|26|library
1000f6b0|sep_upsample|247|library
1000f7b0|fullsize_upsample|11|library
1000f7c0|noop_upsample|11|library
1000f7d0|int_upsample|276|library
1000f8f0|h2v1_upsample|92|library
1000f950|h2v2_upsample|133|library
1000f9e0|h2v1_fancy_upsample|193|library
1000fab0|h2v2_fancy_upsample|338|library
1000fc10|jpeg_read_coefficients|171|library
1000fcc0|transdecode_master_selection|178|library
1000fdf0|output_message|54|library
1000fe30|emit_message|58|library
1000fe70|format_message|167|library
1000ff20|reset_error_mgr|17|library
1000ff40|jpeg_fdct_float|611|library
100101b0|jpeg_fdct_ifast|577|library
10010400|jpeg_fdct_islow|1016|library
10010800|jpeg_idct_float|1107|library
10010c60|jpeg_idct_ifast|1191|library
10011110|jpeg_idct_islow|1579|library
10011740|jpeg_idct_4x4|947|library
10011b00|jpeg_idct_2x2|527|library
10011d10|jpeg_idct_1x1|62|library
10012460|access_virt_sarray|335|library
10012650|access_virt_barray|330|library
10012940|self_destruct|55|library
10013080|color_quantize|187|library
10013140|color_quantize3|178|library
10013200|quantize_ord_dither|292|library
10013330|quantize3_ord_dither|294|library
