container,binary_path,binary_sha256,record_kind,origin,encoding,extension,value
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\3D Code\PList.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\AssayDialog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\DialogInterface.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\MonsterInfoDialog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\ProfRaceInfoDialog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\SpellInfoDialog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\StatInfoDialogs.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\stButton.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\stListBox.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Dialog Code\stMessageDialog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\3d.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\3dapi.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\AmbientSound.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\AniMesh.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\AnimObj.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\AnimRep.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Bink.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\BitArray.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Camera.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Cursor3d.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Environment.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\GameData.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\GDFileIO.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\GDProp.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\GrCycle.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\GrObject.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Item.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\LevelFile.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Levels.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\materials.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Missile.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\MonGen.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Monster.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\Engine Code\Navigator.cpp
